primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappearance_count,sqrt_reappearance,reappears_after_first
andy gibb,1977,"""I Just Want to Be Your Everything""","""andy gibb""",TRUE,7,Andy Gibb,1977-09-09,Andy Gibb,1970,FALSE,2,6,2.449489742783178,TRUE
the emotions,1977,"""Best of My Love""","""the emotions""",TRUE,1,Legacy Recordings,1977-06-10,Legacy Recordings,1970,FALSE,3,0,0,FALSE
hot,1977,"""Angel in Your Arms""","""hot""",TRUE,1,Atlantic Records,1977-09-15,Atlantic Records,1970,TRUE,5,0,0,FALSE
kenny nolan,1977,"""I Like Dreamin'""","""kenny nolan""",TRUE,2,StarVista Music,1977-01-01,StarVista Music,1970,FALSE,6,1,1,TRUE
thelma houston,1977,"""Don't Leave Me This Way""","""thelma houston""",TRUE,1,UNI/MOTOWN,1976-01-01,UNI; MOTOWN,1970,TRUE,7,0,0,FALSE
rita coolidge,1977,"""(Your Love Has Lifted Me) Higher and Higher""","""rita coolidge""",TRUE,2,Brunswick Records,1967,Brunswick Records,1970,FALSE,8,1,1,TRUE
alan o'day,1977,"""Undercover Angel""","""alan o'day""",TRUE,1,Geffen,1973-04-01,Geffen,1970,FALSE,9,0,0,FALSE
mary macgregor,1977,"""Torn Between Two Lovers""","""mary macgregor""",TRUE,1,Columbia,1992-06-20,Columbia,1970,TRUE,10,0,0,FALSE
jimmy buffett,1977,"""Margaritaville""","""jimmy buffett""",TRUE,1,Geffen*,1977-01-01,Geffen*,1970,FALSE,14,0,0,FALSE
pablo cruise,1977,"""Whatcha Gonna Do?""","""pablo cruise""",TRUE,3,A&M,1977-01-01,A&M,1970,FALSE,16,2,1.4142135623730951,TRUE
peter mccann,1977,"""Do You Wanna Make Love""","""peter mccann""",TRUE,1,K-Tel,2010-12-23,K-Tel,1970,FALSE,17,0,0,FALSE
bill conti,1977,"""Gonna Fly Now""","""bill conti""",TRUE,1,Capitol Records,1976-10-14,Capitol Records,1970,TRUE,21,0,0,FALSE
rose royce,1977,"""Car Wash""","""rose royce""",TRUE,2,Geffen*,1976-01-01,Geffen*,1970,FALSE,26,1,1,TRUE
marilyn mccoo,1977,"""You Don't Have to Be a Star (To Be in My Show)""","[""marilyn mccoo"",""billy davis jr.""]",TRUE,1,BMG Special Products,1976,BMG Special Products,1970,FALSE,27,0,0,FALSE
david soul,1977,"""Don't Give Up on Us""","""david soul""",TRUE,1,Private Stock Records,1976-11-06,Private Stock Records,1970,FALSE,29,0,0,FALSE
stephen bishop,1977,"""On and On""","""stephen bishop""",TRUE,2,Hip-O Select,1976-01-01,Hip-O Select,1970,FALSE,30,1,1,TRUE
foreigner,1977,"""Feels Like the First Time""","""foreigner""",TRUE,9,Rhino Atlantic,1977-03-08,Rhino Atlantic,1970,TRUE,31,8,2.8284271247461903,TRUE
climax blues band,1977,"""Couldn't Get It Right""","""climax blues band""",TRUE,2,Chrysalis Copyrights,1969-01-01,Chrysalis Copyrights,1970,FALSE,32,1,1,TRUE
jennifer warnes,1977,"""Right Time of the Night""","""jennifer warnes""",TRUE,1,Arista/Legacy,1976,Arista; Legacy,1970,TRUE,34,0,0,FALSE
natalie cole,1977,"""I've Got Love on My Mind""","""natalie cole""",TRUE,4,Capitol Records,1977-01-01,Capitol Records,1970,TRUE,35,3,1.7320508075688772,TRUE
manfred mann's earth band,1977,"""Blinded by the Light""","""manfred mann's earth band""",TRUE,1,East Central One,1976,East Central One,1970,FALSE,36,0,0,FALSE
atlanta rhythm section,1977,"""So in to You""","""atlanta rhythm section""",TRUE,2,Universal Records,1976-12,Universal Records,1970,FALSE,38,1,1,TRUE
the jacksons,1977,"""Enjoy Yourself""","""the jacksons""",TRUE,3,Epic,1976-11-05,Epic,1970,FALSE,40,2,1.4142135623730951,TRUE
brick,1977,"""Dazz""","""brick""",TRUE,1,Epic/Legacy,1976,Epic; Legacy,1970,TRUE,41,0,0,FALSE
shaun cassidy,1977,"""Da Doo Ron Ron""","""shaun cassidy""",TRUE,3,Curb Records,1977-06-07,Curb Records,1970,FALSE,45,2,1.4142135623730951,TRUE
andrew gold,1977,"""Lonely Boy""","""andrew gold""",TRUE,1,Rhino/Elektra,1976,Rhino; Elektra,1970,TRUE,50,0,0,FALSE
heart,1977,"""Barracuda""","""heart""",TRUE,8,Epic/Portrait,1977-05-14,Epic; Portrait,1970,FALSE,53,7,2.6457513110645907,TRUE
bob seger,1977,"""Night Moves""","[""bob seger"",""the silver bullet band""]",TRUE,6,Bob Seger,1976-10-22,Bob Seger,1970,FALSE,55,5,2.23606797749979,TRUE
the marshall tucker band,1977,"""Heard It in a Love Song""","""the marshall tucker band""",TRUE,1,Reservoir Recordings,1977-01-01,Reservoir Recordings,1970,FALSE,57,0,0,FALSE
kansas,1977,"""Carry On Wayward Son""","""kansas""",TRUE,2,Epic/Legacy,1976,Epic; Legacy,1970,TRUE,58,1,1,TRUE
engelbert humperdinck,1977,"""After the Lovin'""","""engelbert humperdinck""",TRUE,1,Ace Records,1971-01-01,Ace Records,1970,FALSE,61,0,0,FALSE
burton cummings,1977,"""Stand Tall""","""burton cummings""",TRUE,1,Epic/Legacy,1976,Epic; Legacy,1970,TRUE,63,0,0,FALSE
ronnie milsap,1977,"""It Was Almost Like a Song""","""ronnie milsap""",TRUE,4,Craft Recordings,1977-07-01,Craft Recordings,1970,FALSE,66,3,1.7320508075688772,TRUE
sanford-townsend band,1977,"""Smoke from a Distant Fire""","""sanford-townsend band""",TRUE,1,Rhino/Warner Records,1976,Rhino; Warner Records,1970,TRUE,67,0,0,FALSE
dean friedman,1977,"""Ariel""","""dean friedman""",TRUE,1,Lifesong,1977-02-04,Lifesong,1970,FALSE,69,0,0,FALSE
meco,1977,"""Star Wars Theme/Cantina Band""","""meco""",TRUE,1,Island Def Jam,1977-01-01,Island Def Jam,1970,FALSE,71,0,0,FALSE
the floaters,1977,"""Float On""","""the floaters""",TRUE,1,Geffen,1977-06-22,Geffen,1970,FALSE,72,0,0,FALSE
lord david dundas,1977,"""Jeans On""","""lord david dundas""",TRUE,1,Independent,2015-03-08,Independent,1970,FALSE,73,0,0,FALSE
supertramp,1977,"""Give a Little Bit""","""supertramp""",TRUE,3,A&M,1977-01-01,A&M,1970,FALSE,78,2,1.4142135623730951,TRUE
dr. buzzard's original savannah band,1977,"""Cherchez La Femme""","""dr. buzzard's original savannah band""",TRUE,1,RCA Records Label,1976,RCA Records Label,1970,FALSE,91,0,0,FALSE
al stewart,1977,"""Year of the Cat""","""al stewart""",TRUE,2,Rhino,1976,Rhino,1970,TRUE,92,1,1,TRUE
heatwave,1977,"""Boogie Nights""","""heatwave""",TRUE,3,Sony Music CG,1977-06-27,Sony Music CG,1970,FALSE,93,2,1.4142135623730951,TRUE
london symphony orchestra,1977,"""Star Wars (Main Title)""","""london symphony orchestra""",TRUE,1,Walt Disney Records,1977-01-01,Walt Disney Records,1970,FALSE,99,0,0,FALSE
c.j.,1977,"""Devil's Gun""","[""c.j."",""company""]",TRUE,1,Westbound Records,1998-06-01,Westbound Records,1970,FALSE,100,0,0,FALSE
debby boone,1978,"""You Light Up My Life""","""debby boone""",TRUE,1,Curb Records,1977-07-01,Curb Records,1970,FALSE,3,0,0,FALSE
exile,1978,"""Kiss You All Over""","""exile""",TRUE,1,Curb Records,1978-01-01,Curb Records,1970,FALSE,5,0,0,FALSE
player,1978,"""Baby Come Back""","""player""",TRUE,2,UMC (Universal Music Catalogue),1977-09-01,UMC (Universal Music Catalogue),1970,FALSE,7,1,1,TRUE
a taste of honey,1978,"""Boogie Oogie Oogie""","""a taste of honey""",TRUE,2,Capitol Records,1978,Capitol Records,1970,TRUE,9,1,1,TRUE
paul davis,1978,"""I Go Crazy""","""paul davis""",TRUE,3,Legacy Recordings,1977-03-17,Legacy Recordings,1970,FALSE,12,2,1.4142135623730951,TRUE
samantha sang,1978,"""Emotion""","""samantha sang""",TRUE,1,Private Stock Records,1977-12-06,Private Stock Records,1970,FALSE,14,0,0,FALSE
billy joel,1978,"""Just the Way You Are""","""billy joel""",TRUE,12,Columbia/Legacy,1977,Columbia; Legacy,1970,TRUE,17,11,3.3166247903554,TRUE
yvonne elliman,1978,"""If I Can't Have You""","""yvonne elliman""",TRUE,1,Bee Gees Catalog,1977-11-15,Bee Gees Catalog,1970,FALSE,19,0,0,FALSE
chic,1978,"""Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)""","""chic""",TRUE,4,Rhino Atlantic,1977-01-01,Rhino Atlantic,1970,TRUE,20,3,1.7320508075688772,TRUE
chuck mangione,1978,"""Feels So Good""","""chuck mangione""",TRUE,1,A&M,1977-12-08,A&M,1970,FALSE,21,0,0,FALSE
nick gilder,1978,"""Hot Child in the City""","""nick gilder""",TRUE,1,Renaissance Records,1980-08-27,Renaissance Records,1970,FALSE,22,0,0,FALSE
bonnie tyler,1978,"""It's a Heartache""","""bonnie tyler""",TRUE,2,Grapefruit Records,1976-01-01,Grapefruit Records,1970,FALSE,24,1,1,TRUE
gerry rafferty,1978,"""Baker Street""","""gerry rafferty""",TRUE,1,Parlophone UK,1978,Parlophone UK,1970,FALSE,26,0,0,FALSE
johnny mathis,1978,"""Too Much, Too Little, Too Late""","[""johnny mathis"",""deniece williams""]",TRUE,1,Columbia,1978,Columbia,1970,TRUE,28,0,0,FALSE
peter brown,1978,"""Dance With Me""","""peter brown""",TRUE,1,Rhino,1977,Rhino,1970,TRUE,29,0,0,FALSE
meat loaf,1978,"""Two Out of Three Ain't Bad""","""meat loaf""",TRUE,4,Cleveland International/ Epic/Legacy,1977-10-21,Cleveland International; Epic; Legacy,1970,TRUE,30,3,1.7320508075688772,TRUE
raydio,1978,"""Jack And Jill""","""raydio""",TRUE,3,Legacy Recordings,1978-05-07,Legacy Recordings,1970,FALSE,31,2,1.4142135623730951,TRUE
dan hill,1978,"""Sometimes When We Touch""","""dan hill""",TRUE,2,Anthem Records,1977,Anthem Records,1970,FALSE,33,1,1,TRUE
walter egan,1978,"""Magnet and Steel""","""walter egan""",TRUE,1,Legacy Recordings,1978-05-09,Legacy Recordings,1970,FALSE,40,0,0,FALSE
randy newman,1978,"""Short People""","""randy newman""",TRUE,1,Warner Records,1977-09-23,Warner Records,1970,TRUE,41,0,0,FALSE
john paul young,1978,"""Love Is in the Air""","""john paul young""",TRUE,1,Albert Productions,2006-07-29,Albert Productions,1970,FALSE,46,0,0,FALSE
david gates,1978,"""Goodbye Girl""","""david gates""",TRUE,1,Rhino/Elektra,1978,Rhino; Elektra,1970,TRUE,47,0,0,FALSE
jay ferguson,1978,"""Thunder Island""","""jay ferguson""",TRUE,1,Rhino/Elektra,1978,Rhino; Elektra,1970,TRUE,50,0,0,FALSE
toby beau,1978,"""My Angel Baby""","""toby beau""",TRUE,1,Psychopathic,2012,Psychopathic,1970,FALSE,53,0,0,FALSE
the trammps,1978,"""Disco Inferno""","""the trammps""",TRUE,1,Rhino Atlantic,1976,Rhino Atlantic,1970,TRUE,54,0,0,FALSE
l.t.d.,1978,"""(Every Time I Turn Around) Back in Love Again""","""l.t.d.""",TRUE,1,A&M,1977-01-01,A&M,1970,FALSE,57,0,0,FALSE
dolly parton,1978,"""Here You Come Again""","""dolly parton""",TRUE,2,RCA/Legacy,1977-10-03,RCA; Legacy,1970,TRUE,60,1,1,TRUE
"evelyn ""champagne"" king",1978,"""Shame""","""evelyn \""champagne\"" king""",TRUE,1,RCA/Legacy,1977-10-22,RCA; Legacy,1970,TRUE,64,0,0,FALSE
little river band,1978,"""Reminiscing""","""little river band""",TRUE,7,EMI Recorded Music Australia Pty Ltd,1978,EMI Recorded Music Australia Pty Ltd,1970,FALSE,65,6,2.449489742783178,TRUE
eddie money,1978,"""Baby Hold On""","""eddie money""",TRUE,4,Columbia/Legacy,1977,Columbia; Legacy,1970,TRUE,67,3,1.7320508075688772,TRUE
lynyrd skynyrd,1978,"""What's Your Name""","""lynyrd skynyrd""",TRUE,1,Geffen*,1974-04-15,Geffen*,1970,FALSE,70,0,0,FALSE
crystal gayle,1978,"""Don't It Make My Brown Eyes Blue""","""crystal gayle""",TRUE,1,EMI Music Nashville (ERN),1975-02-07,EMI Music Nashville (ERN),1970,FALSE,71,0,0,FALSE
patti smith group,1978,"""Because the Night""","""patti smith group""",TRUE,1,Numero Group,1969-01-01,Numero Group,1970,FALSE,72,0,0,FALSE
robert palmer,1978,"""Every Kinda People""","""robert palmer""",TRUE,5,Island Records,1978-01-01,Island Records,1970,TRUE,73,4,2,TRUE
rick james,1978,"""You and I""","""rick james""",TRUE,1,UNI/MOTOWN,1978-04-20,UNI; MOTOWN,1970,TRUE,76,0,0,FALSE
bob welch,1978,"""Sentimental Lady""","""bob welch""",TRUE,2,Rhino/Warner Records,1972-03-01,Rhino; Warner Records,1970,TRUE,78,1,1,TRUE
leblanc,1978,"""Falling""","[""leblanc"",""carr""]",TRUE,1,Rhino Atlantic,1977-07-05,Rhino Atlantic,1970,TRUE,79,0,0,FALSE
santa esmeralda,1978,"""Don't Let Me Be Misunderstood""","""santa esmeralda""",TRUE,1,Essential Media Group,2000,Essential Media Group,1970,FALSE,80,0,0,FALSE
michael johnson,1978,"""Bluer Than Blue""","""michael johnson""",TRUE,1,CAPITOL CATALOG MKT (C92),1978-06-15,CAPITOL CATALOG MKT (C92),1970,FALSE,81,0,0,FALSE
kenny loggins,1978,"""Whenever I Call You 'Friend'""","[""kenny loggins"",""stevie nicks""]",TRUE,6,Columbia,1977,Columbia,1970,TRUE,83,5,2.23606797749979,TRUE
chris rea,1978,"""Fool (If You Think It's Over)""","""chris rea""",TRUE,1,Talent,1978-01-08,Talent,1970,FALSE,84,0,0,FALSE
foxy,1978,"""Get Off""","""foxy""",TRUE,1,Rhino,1978,Rhino,1970,TRUE,85,0,0,FALSE
joe walsh,1978,"""Life's Been Good""","""joe walsh""",TRUE,2,Geffen,1973-06-18,Geffen,1970,FALSE,87,1,1,TRUE
alicia bridges,1978,"""I Love the Nightlife""","""alicia bridges""",TRUE,2,Polydor,1978,Polydor,1970,FALSE,88,1,1,TRUE
high inergy,1978,"""You Can't Turn Me Off (In The Middle Of Turning Me On)""","""high inergy""",TRUE,1,UNI/MOTOWN,1993-01-15,UNI; MOTOWN,1970,TRUE,89,0,0,FALSE
odyssey,1978,"""Native New Yorker""","""odyssey""",TRUE,1,RCA Records Label,1977,RCA Records Label,1970,FALSE,91,0,0,FALSE
boston,1978,"""Don't Look Back""","""boston""",TRUE,2,Epic,1978-08-02,Epic,1970,FALSE,93,1,1,TRUE
eruption,1978,"""I Can't Stand the Rain""","""eruption""",TRUE,1,Rhino,1982-08-13,Rhino,1970,TRUE,95,0,0,FALSE
the knack,1979,"""My Sharona""","""the knack""",TRUE,1,Capitol Records,1979-01-01,Capitol Records,1970,TRUE,1,0,0,FALSE
peaches,1979,"""Reunited""","[""peaches"",""herb""]",TRUE,3,Universal Records,1978-01-01,Universal Records,1970,FALSE,5,2,1.4142135623730951,TRUE
village people,1979,"""Y.M.C.A.""","""village people""",TRUE,2,Mercury Records,1978,Mercury Records,1970,FALSE,8,1,1,TRUE
anita ward,1979,"""Ring My Bell""","""anita ward""",TRUE,1,Juana Records,1979-01-01,Juana Records,1970,FALSE,9,0,0,FALSE
david naughton,1979,"""Makin' It""","""david naughton""",TRUE,1,RCA/Legacy,1996-08-06,RCA; Legacy,1970,TRUE,14,0,0,FALSE
blondie,1979,"""Heart of Glass""","""blondie""",TRUE,4,Chrysalis\EMI Records (USA),1978-09-23,Chrysalis\EMI Records (USA),1970,FALSE,18,3,1.7320508075688772,TRUE
amii stewart,1979,"""Knock on Wood""","""amii stewart""",TRUE,1,Red Zone Entertainment / IDJ,2012-07-10,Red Zone Entertainment; IDJ,1970,FALSE,22,0,0,FALSE
suzi quatro,1979,"""Stumblin' In""","[""suzi quatro"",""chris norman""]",TRUE,1,Sony Music Catalog,1978,Sony Music Catalog,1970,FALSE,23,0,0,FALSE
randy vanwarmer,1979,"""Just When I Needed You Most""","""randy vanwarmer""",TRUE,1,Rhino,1979,Rhino,1970,TRUE,29,0,0,FALSE
cheap trick,1979,"""I Want You to Want Me""","""cheap trick""",TRUE,3,Epic/Legacy,1977-09,Epic; Legacy,1970,TRUE,34,2,1.4142135623730951,TRUE
leif garrett,1979,"""I Was Made for Dancin'""","""leif garrett""",TRUE,1,Volcano,1998-07-22,Volcano,1970,FALSE,37,0,0,FALSE
nicolette larson,1979,"""Lotta Love""","""nicolette larson""",TRUE,1,Rhino/Warner Records,1978,Rhino; Warner Records,1970,TRUE,41,0,0,FALSE
bonnie pointer,1979,"""Heaven Must Have Sent You""","""bonnie pointer""",TRUE,1,Strut,1982-04-14,Strut,1970,FALSE,43,0,0,FALSE
toto,1979,"""Hold the Line""","""toto""",TRUE,5,Columbia,1978-10-10,Columbia,1970,TRUE,44,4,2,TRUE
sister sledge,1979,"""He's the Greatest Dancer""","""sister sledge""",TRUE,2,Rhino Atlantic,1995,Rhino Atlantic,1970,TRUE,45,1,1,TRUE
frank mills,1979,"""Music Box Dancer""","""frank mills""",TRUE,1,Richmond Records,1978-01-01,Richmond Records,1970,FALSE,49,0,0,FALSE
the charlie daniels band,1979,"""The Devil Went Down to Georgia""","""the charlie daniels band""",TRUE,1,Epic/Legacy,1973,Epic; Legacy,1970,TRUE,50,0,0,FALSE
john stewart,1979,"""Gold""","""john stewart""",TRUE,1,Crossroads Entertainment,1991-08-19,Crossroads Entertainment,1970,FALSE,51,0,0,FALSE
bobby caldwell,1979,"""What You Won't Do for Love""","""bobby caldwell""",TRUE,1,Big Deal Records,1978,Big Deal Records,1970,FALSE,59,0,0,FALSE
ace frehley,1979,"""New York Groove""","""ace frehley""",TRUE,1,Casablanca Records,1978-01-01,Casablanca Records,1970,FALSE,60,0,0,FALSE
dire straits,1979,"""Sultans of Swing""","""dire straits""",TRUE,3,Warner Records,1978-10-07,Warner Records,1970,TRUE,61,2,1.4142135623730951,TRUE
rickie lee jones,1979,"""Chuck E.'s In Love""","""rickie lee jones""",TRUE,1,Rhino/Warner Records,1979,Rhino; Warner Records,1970,TRUE,63,0,0,FALSE
mcfadden,1979,"""Ain't No Stoppin' Us Now""","[""mcfadden"",""whitehead""]",TRUE,1,Legacy Recordings,1979-05-01,Legacy Recordings,1970,FALSE,65,0,0,FALSE
cheryl lynn,1979,"""Got to Be Real""","""cheryl lynn""",TRUE,1,Legacy Recordings,1978-07-17,Legacy Recordings,1970,FALSE,69,0,0,FALSE
patrick hernandez,1979,"""Born to Be Alive""","""patrick hernandez""",TRUE,1,Van Loo Music,1978,Van Loo Music,1970,FALSE,70,0,0,FALSE
ian matthews,1979,"""Shake It""","""ian matthews""",TRUE,1,Omnivore Recordings,1978,Omnivore Recordings,1970,FALSE,73,0,0,FALSE
gino vannelli,1979,"""I Just Wanna Stop""","""gino vannelli""",TRUE,2,A&M,1978-01-01,A&M,1970,FALSE,75,1,1,TRUE
gq,1979,"""Disco Nights (Rock-Freak)""","""gq""",TRUE,2,Legacy Recordings,1979-01-01,Legacy Recordings,1970,FALSE,76,1,1,TRUE
herb alpert,1979,"""Rise""","""herb alpert""",TRUE,3,Herb Alpert Presents,1979-09-01,Herb Alpert Presents,1970,FALSE,80,2,1.4142135623730951,TRUE
roger voudouris,1979,"""Get Used to It""","""roger voudouris""",TRUE,1,Rhino/Warner Records,1979,Rhino; Warner Records,1970,TRUE,83,0,0,FALSE
ambrosia,1979,"""How Much I Feel""","""ambrosia""",TRUE,2,RT Industries,1978,RT Industries,1970,FALSE,84,1,1,TRUE
eddie rabbitt,1979,"""Suspicions""","""eddie rabbitt""",TRUE,5,Epic/Legacy,1969,Epic; Legacy,1970,TRUE,85,4,2,TRUE
rex smith,1979,"""You Take My Breath Away""","""rex smith""",TRUE,1,Columbia/Legacy,1979,Columbia; Legacy,1970,TRUE,86,0,0,FALSE
the babys,1979,"""Everytime I Think of You""","""the babys""",TRUE,1,Chrysalis Records,1981-10-02,Chrysalis Records,1970,FALSE,89,0,0,FALSE
instant funk,1979,"""I Got My Mind Made Up (You Can Get It Girl)""","""instant funk""",TRUE,1,Salsoul Records,1973,Salsoul Records,1970,FALSE,90,0,0,FALSE
van halen,1979,"""Dance the Night Away""","""van halen""",TRUE,6,Rhino/Warner Records,1979-03-23,Rhino; Warner Records,1970,TRUE,95,5,2.23606797749979,TRUE
nigel olsson,1979,"""Dancin' Shoes""","""nigel olsson""",TRUE,1,Capitol Records,1971,Capitol Records,1970,TRUE,96,0,0,FALSE
firefall,1979,"""Strange Way""","""firefall""",TRUE,1,Rhino Atlantic,1978,Rhino Atlantic,1970,TRUE,100,0,0,FALSE
lipps inc.,1980,"""Funkytown""","""lipps inc.""",TRUE,1,Polydor,1979-11-01,Polydor,1980,FALSE,8,0,0,FALSE
rupert holmes,1980,"""Escape (The Piña Colada Song)""","""rupert holmes""",TRUE,2,Geffen*,1979-01-01,Geffen*,1980,FALSE,11,1,1,TRUE
gary numan,1980,"""Cars""","""gary numan""",TRUE,1,Beggars Banquet,1979-09-07,Beggars Banquet,1980,FALSE,12,0,0,FALSE
smokey robinson,1980,"""Cruisin""","""smokey robinson""",TRUE,3,UNI/MOTOWN,1979-05-22,UNI; MOTOWN,1980,TRUE,13,2,1.4142135623730951,TRUE
air supply,1980,"""Lost in Love""","""air supply""",TRUE,8,Arista,1980-02-25,Arista,1980,FALSE,15,7,2.6457513110645907,TRUE
christopher cross,1980,"""Ride Like the Wind""","""christopher cross""",TRUE,6,Seeker Music,1979-12-20,Seeker Music,1980,FALSE,17,5,2.23606797749979,TRUE
teri desario,1980,"""Yes, I'm Ready""","[""teri desario"",""kc""]",TRUE,1,Arctic,1965-01-01,Arctic,1980,FALSE,24,0,0,FALSE
robbie dupree,1980,"""Steal Away""","""robbie dupree""",TRUE,1,Blixa Sounds,1980-12-01,Blixa Sounds,1980,FALSE,26,0,0,FALSE
dan fogelberg,1980,"""Longer""","""dan fogelberg""",TRUE,3,Full Moon,1979-11,Full Moon,1980,FALSE,33,2,1.4142135623730951,TRUE
the s.o.s. band,1980,"""Take Your Time (Do It Right)""","""the s.o.s. band""",TRUE,1,SoSouth,1998-02-28,SoSouth,1980,FALSE,37,0,0,FALSE
kim carnes,1980,"""More Love""","""kim carnes""",TRUE,2,CAPITOL CATALOG MKT (C92),1980-06-01,CAPITOL CATALOG MKT (C92),1980,FALSE,39,1,1,TRUE
m,1980,"""Pop Muzik""","""m""",TRUE,1,Metro,1979-01-01,Metro,1980,FALSE,40,0,0,FALSE
the pretenders,1980,"""Brass in Pocket""","""the pretenders""",TRUE,4,Rhino/Warner Records,1980-01-11,Rhino; Warner Records,1980,TRUE,41,3,1.7320508075688772,TRUE
ray,1980,"""Special Lady""","[""ray"",""goodman"",""brown""]",TRUE,1,Polydor,1979-01-01,Polydor,1980,FALSE,42,0,0,FALSE
shalamar,1980,"""The Second Time Around""","""shalamar""",TRUE,3,UNIDISC MUSIC INC.,1979-01-01,UNIDISC MUSIC INC.,1980,FALSE,44,2,1.4142135623730951,TRUE
rocky burnette,1980,"""Tired of Toein' the Line""","""rocky burnette""",TRUE,1,Fly Records,1980-06-01,Fly Records,1980,FALSE,48,0,0,FALSE
bob seger and the silver bullet band,1980,"""Against the Wind""","""bob seger and the silver bullet band""",TRUE,2,Bob Seger,1976-04-12,Bob Seger,1980,FALSE,51,1,1,TRUE
jd souther,1980,"""You're Only Lonely""","""jd souther""",TRUE,1,Columbia,1979,Columbia,1980,TRUE,57,0,0,FALSE
pete townshend,1980,"""Let My Love Open the Door""","""pete townshend""",TRUE,1,UMC (Universal Music Catalogue),1980-04-21,UMC (Universal Music Catalogue),1980,FALSE,59,0,0,FALSE
steve forbert,1980,"""Romeo's Tune""","""steve forbert""",TRUE,1,Rolling Tide Music,1979-12-07,Rolling Tide Music,1980,FALSE,60,0,0,FALSE
tom petty and the heartbreakers,1980,"""Don't Do Me Like That""","""tom petty and the heartbreakers""",TRUE,4,Tom Petty P&D,1976-11-09,Tom Petty P&D,1980,FALSE,64,3,1.7320508075688772,TRUE
irene cara,1980,"""Fame""","""irene cara""",TRUE,3,WaterTower Music,1980-05-16,WaterTower Music,1980,FALSE,66,2,1.4142135623730951,TRUE
benny mardones,1980,"""Into the Night""","""benny mardones""",TRUE,1,Polydor,1980-01-01,Polydor,1980,FALSE,69,0,0,FALSE
pure prairie league,1980,"""Let Me Love You Tonight""","""pure prairie league""",TRUE,1,Mercury Nashville,1980-01-01,Mercury Nashville,1980,FALSE,70,0,0,FALSE
genesis,1980,"""Misunderstanding""","""genesis""",TRUE,10,Rhino Atlantic,1980-03-28,Rhino Atlantic,1980,TRUE,71,9,3,TRUE
the dirt band,1980,"""An American Dream""","""the dirt band""",TRUE,1,Capitol Nashville,1979-01-01,Capitol Nashville,1980,FALSE,72,0,0,FALSE
neil,1980,"""Should've Never Let You Go""","[""neil"",""dara sedaka""]",TRUE,1,NEIL SEDAKA MUSIC,1980,NEIL SEDAKA MUSIC,1980,FALSE,76,0,0,FALSE
charlie dore,1980,"""Pilot of the Airwaves""","""charlie dore""",TRUE,1,Goldenlane Records,2008-09-01,Goldenlane Records,1980,FALSE,77,0,0,FALSE
mickey gilley,1980,"""Stand by Me""","""mickey gilley""",TRUE,1,Epic,1974,Epic,1980,FALSE,82,0,0,FALSE
pat benatar,1980,"""Heartbreaker""","""pat benatar""",TRUE,5,Chrysalis\EMI Records (USA),1979-01-01,Chrysalis\EMI Records (USA),1980,FALSE,83,4,2,TRUE
daryl hall,1980,"""Wait for Me""","[""daryl hall"",""john oates""]",TRUE,16,Legacy Recordings,1979,Legacy Recordings,1980,FALSE,88,15,3.872983346207417,TRUE
prince,1980,"""I Wanna Be Your Lover""","""prince""",TRUE,11,Motown,1970-05-08,Motown,1980,TRUE,95,10,3.1622776601683795,TRUE
charlie daniels band,1980,"""In America""","""charlie daniels band""",TRUE,1,Epic/Legacy,1973,Epic; Legacy,1980,TRUE,96,0,0,FALSE
reo speedwagon,1981,"""Keep on Loving You""","""reo speedwagon""",TRUE,4,Epic,1976-05-21,Epic,1980,FALSE,10,3,1.7320508075688772,TRUE
joey scarbury,1981,"""Theme from The Greatest American Hero (Believe It or Not)""","""joey scarbury""",TRUE,1,Rhino/Elektra,1981,Rhino; Elektra,1980,TRUE,11,0,0,FALSE
sheena easton,1981,"""Morning Train (Nine to Five)""","""sheena easton""",TRUE,7,RT Industries,1981,RT Industries,1980,FALSE,12,6,2.449489742783178,TRUE
juice newton,1981,"""Queen of Hearts""","""juice newton""",TRUE,4,EMI Music Nashville (ERN),1981-01-01,EMI Music Nashville (ERN),1980,FALSE,14,3,1.7320508075688772,TRUE
grover washington,1981,"""Just the Two of Us""","[""grover washington"",""jr."",""bill withers""]",TRUE,1,Rhino/Elektra,1985,Rhino; Elektra,1980,TRUE,18,0,0,FALSE
stars on 45,1981,"""Stars on 45 Medley""","""stars on 45""",TRUE,1,Red Bullet,1981-03-06,Red Bullet,1980,FALSE,24,0,0,FALSE
the oak ridge boys,1981,"""Elvira""","""the oak ridge boys""",TRUE,1,Geffen*,1981-01-01,Geffen*,1980,FALSE,31,0,0,FALSE
the manhattan transfer,1981,"""The Boy from New York City""","""the manhattan transfer""",TRUE,1,Craft Recordings,1981-06-01,Craft Recordings,1980,FALSE,36,0,0,FALSE
marty balin,1981,"""Hearts""","""marty balin""",TRUE,1,RCA/BMG Heritage,1967,RCA; BMG Heritage,1980,FALSE,41,0,0,FALSE
champaign,1981,"""How 'Bout Us""","""champaign""",TRUE,2,Legacy Recordings,1981,Legacy Recordings,1980,FALSE,45,1,1,TRUE
