primary_artist,Year,Title,record_label,album_year,decade,is_major_label,reappears_after_first
isaac hayes,1980,"""Don't Let Go""",Polydor,1979-01-01,1980,FALSE,TRUE
tom petty and the heartbreakers,1980,"""Don't Do Me Like That""",Tom Petty P&D,1976-11-09,1980,FALSE,TRUE
michael jackson,1980,"""She's Out of My Life""",Epic,1979-08-10,1980,FALSE,TRUE
irene cara,1980,"""Fame""",WaterTower Music,1980-05-16,1980,FALSE,TRUE
bob seger and the silver bullet band,1980,"""Fire Lake""",Bob Seger,1976-04-12,1980,FALSE,FALSE
linda ronstadt,1980,"""How Do I Make You""",Capitol Records,1974,1980,TRUE,TRUE
benny mardones,1980,"""Into the Night""",Polydor,1980-01-01,1980,FALSE,FALSE
pure prairie league,1980,"""Let Me Love You Tonight""",Mercury Nashville,1980-01-01,1980,FALSE,FALSE
genesis,1980,"""Misunderstanding""",Rhino Atlantic,1980-03-28,1980,TRUE,TRUE
the dirt band,1980,"""An American Dream""",Capitol Nashville,1979-01-01,1980,FALSE,FALSE
carole king,1980,"""One Fine Day""",A&M,1969-10-08,1980,FALSE,TRUE
donna summer,1980,"""Dim All the Lights""",Mercury Records,1979-04-25,1980,FALSE,TRUE
billy joel,1980,"""You May Be Right""",Columbia/Legacy,1973-11-07,1980,TRUE,TRUE
neil,1980,"""Should've Never Let You Go""",NEIL SEDAKA MUSIC,1980,1980,FALSE,FALSE
charlie dore,1980,"""Pilot of the Airwaves""",Goldenlane Records,2008-09-01,1980,FALSE,FALSE
linda ronstadt,1980,"""Hurt So Bad""",Elektra Asylum,1980,1980,FALSE,TRUE
michael jackson,1980,"""Off the Wall""",Epic,1979-08-10,1980,FALSE,TRUE
peaches,1980,"""I Pledge My Love""",CAPITOL CATALOG MKT (C92),1973-01-01,1980,FALSE,TRUE
eagles,1980,"""The Long Run""",Warner Records,1973,1980,FALSE,TRUE
mickey gilley,1980,"""Stand by Me""",Epic,1974,1980,FALSE,FALSE
pat benatar,1980,"""Heartbreaker""",Chrysalis\EMI Records (USA),1979-01-01,1980,FALSE,TRUE
dionne warwick,1980,"""Déjà Vu""",Legacy Recordings,1979-01-01,1980,FALSE,TRUE
eddie rabbitt,1980,"""Drivin' My Life Away""",Rhino/Elektra,1980-06-20,1980,TRUE,TRUE
supertramp,1980,"""Take the Long Way Home""",A&M,1979-03-29,1980,FALSE,TRUE
fleetwood mac,1980,"""Sara""",Rhino/Warner Records,1979-10-12,1980,TRUE,TRUE
daryl hall,1980,"""Wait for Me""",Legacy Recordings,1979,1980,FALSE,TRUE
boz scaggs,1980,"""Jojo""",Columbia/Legacy,1980-03-04,1980,TRUE,TRUE
neil diamond,1980,"""September Morn""",Neil Diamond,1977,1980,FALSE,TRUE
george benson,1980,"""Give Me the Night""",Rhino/Warner Records,1976,1980,TRUE,TRUE
anne murray,1980,"""Broken Hearted Me""",BMG Rights Management (US) LLC,1978-08-01,1980,FALSE,TRUE
kenny rogers,1980,"""You Decorated My Life""",CMCapNash (N91),1979-10-10,1980,FALSE,TRUE
fleetwood mac,1980,"""Tusk""",Rhino/Warner Records,1979-10-12,1980,TRUE,TRUE
prince,1980,"""I Wanna Be Your Lover""",Motown,1970-05-08,1980,FALSE,TRUE
charlie daniels band,1980,"""In America""",Epic/Legacy,1973,1980,TRUE,FALSE
boz scaggs,1980,"""Breakdown Dead Ahead""",Columbia,1980,1980,FALSE,TRUE
barry manilow,1980,"""Ships""",Arista/Legacy,1976,1980,TRUE,TRUE
joe walsh,1980,"""All Night Long""",Geffen,1973-06-18,1980,FALSE,TRUE
tom petty and the heartbreakers,1980,"""Refugee""",Tom Petty P&D,1976-11-09,1980,FALSE,TRUE
kim carnes,1981,"""Bette Davis Eyes""",Capitol Records,1981-01-01,1980,TRUE,TRUE
diana ross,1981,"""Endless Love""",Motown,1992-01-01,1980,FALSE,TRUE
kenny rogers,1981,"""Lady""",Capitol Nashville,1993-01-01,1980,FALSE,TRUE
john lennon,1981,"""(Just Like) Starting Over""",Capitol Records,1980-11-17,1980,TRUE,TRUE
rick springfield,1981,"""Jessie's Girl""",RCA/Legacy,1981-03-13,1980,TRUE,TRUE
kool,1981,"""Celebration""",Island Mercury,1974-09,1980,FALSE,TRUE
daryl hall,1981,"""Kiss on My List""",RCA/BMG Heritage,1980,1980,FALSE,TRUE
eddie rabbitt,1981,"""I Love a Rainy Night""",Warner Records,1991,1980,FALSE,TRUE
dolly parton,1981,"""9 To 5""",RCA Records Label,1980,1980,FALSE,TRUE
reo speedwagon,1981,"""Keep on Loving You""",Epic,1976-05-21,1980,FALSE,TRUE
joey scarbury,1981,"""Theme from The Greatest American Hero (Believe It or Not)""",Rhino/Elektra,1981,1980,TRUE,FALSE
sheena easton,1981,"""Morning Train (Nine to Five)""",RT Industries,1981,1980,FALSE,TRUE
smokey robinson,1981,"""Being with You""",UNI/MOTOWN,1981-01-01,1980,TRUE,TRUE
juice newton,1981,"""Queen of Hearts""",EMI Music Nashville (ERN),1981-01-01,1980,FALSE,TRUE
blondie,1981,"""Rapture""",Chrysalis\EMI Records (USA),1980-11-01,1980,FALSE,TRUE
raydio,1981,"""A Woman Needs Love (Just Like You Do)""",Legacy Recordings,1981,1980,FALSE,TRUE
blondie,1981,"""The Tide Is High""",Chrysalis\EMI Records (USA),1980-10-01,1980,FALSE,TRUE
grover washington,1981,"""Just the Two of Us""",Rhino/Elektra,1985,1980,TRUE,FALSE
the pointer sisters,1981,"""Slow Hand""",Ace Records,1979,1980,FALSE,TRUE
climax blues band,1981,"""I Love You""",Chrysalis Copyrights,1969-01-01,1980,FALSE,TRUE
john lennon,1981,"""Woman""",EMI Catalogue,1970-12-11,1980,FALSE,TRUE
a taste of honey,1981,"""Sukiyaki""",Capitol Records,1965,1980,TRUE,TRUE
abba,1981,"""The Winner Takes It All""",Polar Music International AB,1980,1980,FALSE,TRUE
stars on 45,1981,"""Stars on 45 Medley""",Red Bullet,1981-03-06,1980,FALSE,FALSE
juice newton,1981,"""Angel of the Morning""",EMI Music Nashville (ERN),1981-01-01,1980,FALSE,TRUE
neil diamond,1981,"""Love on the Rocks""",Neil Diamond,1980-11-10,1980,FALSE,TRUE
air supply,1981,"""Every Woman in the World""",Arista,1980-02-25,1980,FALSE,TRUE
air supply,1981,"""The One That You Love""",Buddha Records,1981,1980,FALSE,TRUE
barbra streisand,1981,"""Guilty""",Columbia,1980-09-23,1980,FALSE,TRUE
styx,1981,"""The Best of Times""",Universal Music Enterprises,1973,1980,FALSE,TRUE
the oak ridge boys,1981,"""Elvira""",Geffen*,1981-01-01,1980,FALSE,FALSE
reo speedwagon,1981,"""Take It on the Run""",Epic/Legacy,1980,1980,TRUE,TRUE
ronnie milsap,1981,"""(There's) No Gettin' Over Me""",Craft Recordings,1981-08-01,1980,FALSE,TRUE
gino vannelli,1981,"""Living Inside Myself""",A&M,1978-01-01,1980,FALSE,TRUE
barbra streisand,1981,"""Woman in Love""",Columbia,1980-09-23,1980,FALSE,TRUE
the manhattan transfer,1981,"""The Boy from New York City""",Craft Recordings,1981-06-01,1980,FALSE,FALSE
foreigner,1981,"""Urgent""",Rhino Atlantic,1981,1980,TRUE,TRUE
rod stewart,1981,"""Passion""",Mercury Records,1971-05-18,1980,FALSE,TRUE
commodores,1981,"""Lady (You Bring Me Up)""",UNI/MOTOWN,1981-01-01,1980,TRUE,TRUE
don mclean,1981,"""Crying""",Time-Life Music,1978-12-01,1980,FALSE,TRUE
marty balin,1981,"""Hearts""",RCA/BMG Heritage,1967,1980,FALSE,FALSE
diana ross,1981,"""It's My Turn""",UNI/MOTOWN,1980-05-22,1980,TRUE,TRUE
daryl hall,1981,"""You Make My Dreams""",RCA/BMG Heritage,1980,1980,FALSE,TRUE
kenny rogers,1981,"""I Don't Need You""",EMI Music Nashville (ERN),1981-06-15,1980,FALSE,TRUE
champaign,1981,"""How 'Bout Us""",Legacy Recordings,1981,1980,FALSE,TRUE
pat benatar,1981,"""Hit Me with Your Best Shot""",Chrysalis\EMI Records (USA),1980-08-05,1980,FALSE,TRUE
the greg kihn band,1981,"""The Breakup Song (They Don't Write 'Em)""",Stingray Music (Karaoke),2011-02-04,1980,FALSE,TRUE
the alan parsons project,1981,"""Time""",Warner Records,1975,1980,FALSE,TRUE
bruce springsteen,1981,"""Hungry Heart""",Columbia,1980-10-17,1980,FALSE,TRUE
franke and the knockouts,1981,"""Sweetheart""",Warner Records,2002-07-09,1980,FALSE,FALSE
terri gibbs,1981,"""Somebody's Knockin'""",RLG/Legacy,1984,1980,TRUE,FALSE
leo sayer,1981,"""More Than I Can Say""",Rhino,1976,1980,TRUE,TRUE
tierra,1981,"""Together""",Boardwalk Records,1980-09-06,1980,FALSE,FALSE
styx,1981,"""Too Much Time on My Hands""",Universal Music Enterprises,1973,1980,FALSE,TRUE
dottie west,1981,"""What Are We Doin' in Love""",EMI Music Nashville (ERN),1979-11-01,1980,FALSE,FALSE
journey,1981,"""Who's Crying Now""",Rhino/Elektra,1977,1980,TRUE,TRUE
the police,1981,"""De Do Do Do, De Da Da Da""",Polydor Records,1979-10-02,1980,FALSE,TRUE
gary u.s. bonds,1981,"""This Little Girl""",Varese Sarabande,1998-01-01,1980,FALSE,FALSE
stevie nicks,1981,"""Stop Draggin' My Heart Around""",Rhino Atlantic,1981-07-27,1980,TRUE,TRUE
delbert mcclinton,1981,"""Giving It Up for Your Love""",Hip-O (UC),1999-01-01,1980,FALSE,FALSE
cliff richard,1981,"""A Little in Love""",Parlophone UK,1980,1980,FALSE,TRUE
neil diamond,1981,"""America""",Neil Diamond,1977,1980,FALSE,TRUE
john cougar,1981,"""Ain't Even Done with the Night""",John Mellencamp 2023 (Island),1980,1980,FALSE,TRUE
christopher cross,1981,"""Arthur's Theme (Best That You Can Do)""",Seeker Music,1979-12-20,1980,FALSE,TRUE
queen,1981,"""Another One Bites the Dust""",Hollywood Records,1980-06-27,1980,FALSE,TRUE
the alan parsons project,1981,"""Games People Play""",Arista/Legacy,1977-07-08,1980,TRUE,TRUE
eric clapton,1981,"""I Can't Stand It""",Polydor Records,1978-11-02,1980,FALSE,TRUE
steve winwood,1981,"""While You See a Chance""",Universal Music Group International,1980-12-31,1980,FALSE,TRUE
stevie wonder,1981,"""Master Blaster (Jammin')""",Motown,1980-09-29,1980,FALSE,TRUE
neil diamond,1981,"""Hello Again""",Neil Diamond,1977,1980,FALSE,TRUE
the police,1981,"""Don't Stand So Close to Me""",Polydor Records,1980-10-03,1980,FALSE,TRUE
steely dan,1981,"""Hey Nineteen""",Geffen,1972-11-01,1980,FALSE,TRUE
stevie wonder,1981,"""I Ain't Gonna Stand for It""",Motown,1980-09-29,1980,FALSE,TRUE
george harrison,1981,"""All Those Years Ago""",BMG Rights Management (US) LLC,1970-11-20,1980,FALSE,TRUE
eddie rabbitt,1981,"""Step By Step""",Capitol Nashville,1981-07-31,1980,FALSE,TRUE
billy squier,1981,"""The Stroke""",Capitol Records,1981,1980,TRUE,TRUE
alabama,1981,"""Feels So Right""",RLG/Legacy,1980,1980,TRUE,TRUE
stanley clarke,1981,"""Sweet Baby""",Epic,1981,1980,FALSE,FALSE
dan fogelberg,1981,"""Same Old Lang Syne""",Full Moon,1979-11,1980,FALSE,TRUE
pablo cruise,1981,"""Cool Love""",A&M,1978,1980,FALSE,TRUE
electric light orchestra,1981,"""Hold On Tight""",A&M,1980-01-01,1980,FALSE,TRUE
john schneider,1981,"""It's Now or Never""",Columbia/Legacy,1973-11-07,1980,TRUE,FALSE
pat benatar,1981,"""Treat Me Right""",Chrysalis\EMI Records (USA),1980-08-05,1980,FALSE,TRUE
santana,1981,"""Winning""",Columbia/Legacy,1970-09-23,1980,TRUE,TRUE
barbra streisand,1981,"""What Kind of Fool""",Rhino/Warner Records,1962,1980,TRUE,TRUE
john lennon,1981,"""Watching the Wheels""",Capitol Records,1980-11-17,1980,TRUE,TRUE
heart,1981,"""Tell It Like It Is""",Epic,1980,1980,FALSE,TRUE
ronnie milsap,1981,"""Smoky Mountain Rain""",Craft Recordings,1980-02-01,1980,FALSE,TRUE
barry manilow,1981,"""I Made It Through the Rain""",Arista/Legacy,1980,1980,TRUE,TRUE
daryl hall,1981,"""You've Lost That Lovin' Feelin'""",RCA/Legacy,1970-11-01,1980,TRUE,TRUE
olivia newton-john,1981,"""Suddenly""",Geffen*,1980-01-01,1980,FALSE,TRUE
sheena easton,1981,"""For Your Eyes Only""",RT Industries,1981,1980,FALSE,TRUE
the beach boys,1981,"""The Beach Boys Medley""",Planet Blue Records USA,1988-01-01,1980,FALSE,TRUE
devo,1981,"""Whip It""",Warner Records,1980,1980,FALSE,FALSE
sheena easton,1981,"""Modern Girl""",RT Industries,1981,1980,FALSE,TRUE
gary wright,1981,"""Really Wanna Know You""",Rhino,1981,1980,TRUE,TRUE
rosanne cash,1981,"""Seven Year Ache""",RumbleStrip Records,1981-01-01,1980,FALSE,FALSE
diana ross,1981,"""I'm Coming Out""",UNI/MOTOWN,1980-05-22,1980,TRUE,TRUE
boz scaggs,1981,"""Miss Sun""",Columbia,1980,1980,FALSE,TRUE
andy gibb,1981,"""Time Is Time""",Andy Gibb,1980-02-02,1980,FALSE,TRUE
olivia newton-john,1982,"""Physical""","Universal Music Enterprises, a Division of UMG Recordings, Inc.",2002-02-05,1980,FALSE,TRUE
survivor,1982,"""Eye of the Tiger""",Volcano,1982,1980,FALSE,TRUE
joan jett,1982,"""I Love Rock 'n Roll""",Legacy Recordings,1981-11-18,1980,FALSE,FALSE
paul mccartney,1982,"""Ebony and Ivory""",Paul McCartney Catalog,1982-04-26,1980,FALSE,TRUE
the j. geils band,1982,"""Centerfold""",EMI/EMI Records (USA),1981,1980,FALSE,FALSE
the human league,1982,"""Don't You Want Me""",Virgin Records,1981,1980,FALSE,TRUE
john cougar,1982,"""Jack & Diane""",John Mellencamp 2023 (Island),1982,1980,FALSE,TRUE
john cougar,1982,"""Hurts So Good""",John Mellencamp 2023 (Island),1982,1980,FALSE,TRUE
steve miller band,1982,"""Abracadabra""",Capitol Records,1982-06-15,1980,TRUE,TRUE
chicago,1982,"""Hard to Say I'm Sorry""",Rhino/Warner Records,1982-06-07,1980,TRUE,TRUE
soft cell,1982,"""Tainted Love""",EMI,1981,1980,FALSE,FALSE
vangelis,1982,"""Chariots of Fire""",UMC (Universal Music Catalogue),1981-03-14,1980,FALSE,FALSE
quarterflash,1982,"""Harden My Heart""",Geffen,1981-01-01,1980,FALSE,TRUE
toto,1982,"""Rosanna""",Columbia,1982-04-08,1980,FALSE,TRUE
daryl hall,1982,"""I Can't Go for That (No Can Do)""",RCA/BMG Heritage,1981,1980,FALSE,TRUE
tommy tutone,1982,"""867-5309/Jenny""",Columbia,1981-12-04,1980,FALSE,FALSE
bertie higgins,1982,"""Key Largo""",Toucan Cove,2005-07-19,1980,FALSE,FALSE
melissa manchester,1982,"""You Should Hear How She Talks About You""",SMSP,1982,1980,FALSE,TRUE
foreigner,1982,"""Waiting for a Girl Like You""",Rhino Atlantic,1981,1980,TRUE,TRUE
rick springfield,1982,"""Don't Talk to Strangers""",RCA Victor,1982-03-23,1980,FALSE,TRUE
juice newton,1982,"""The Sweetest Thing (I've Ever Known)""",EMI Music Nashville (ERN),1981-01-01,1980,FALSE,TRUE
willie nelson,1982,"""Always on My Mind""",Legacy/Columbia,1975-01-01,1980,TRUE,FALSE
the cars,1982,"""Shake It Up""",Rhino/Elektra,1981,1980,TRUE,TRUE
dazz band,1982,"""Let It Whip""",UNI/MOTOWN,1982-01-01,1980,TRUE,FALSE
the go-go's,1982,"""We Got the Beat""",A&M,1981-01-01,1980,FALSE,TRUE
ray parker jr.,1982,"""The Other Woman""",Legacy Recordings,1982,1980,FALSE,TRUE
george benson,1982,"""Turn Your Love Around""",Rhino/Warner Records,1976,1980,TRUE,TRUE
air supply,1982,"""Sweet Dreams""",Buddha Records,1981,1980,FALSE,TRUE
the motels,1982,"""Only the Lonely""",Legacy Recordings,1961,1980,FALSE,FALSE
men at work,1982,"""Who Can It Be Now?""",Columbia/Legacy,1981,1980,TRUE,TRUE
fleetwood mac,1982,"""Hold Me""",Blue Horizon Records,1969-08-15,1980,FALSE,TRUE
the alan parsons project,1982,"""Eye in the Sky""",Arista/Legacy,1982-06-01,1980,TRUE,TRUE
earth,1982,"""Let's Groove""",Legacy Recordings,1981-11-14,1980,FALSE,TRUE
journey,1982,"""Open Arms""",Columbia/Legacy,1981-07-17,1980,TRUE,TRUE
dan fogelberg,1982,"""Leader of the Band""",Full Moon/Epic,1981-08,1980,FALSE,TRUE
stevie nicks,1982,"""Leather and Lace""",Rhino Atlantic,1981-07-27,1980,TRUE,TRUE
air supply,1982,"""Even the Nights Are Better""",Arista,1982-06-01,1980,FALSE,TRUE
charlene,1982,"""I've Never Been to Me""",UNI/MOTOWN,1982-01-01,1980,TRUE,FALSE
paul davis,1982,"""'65 Love Affair""",Epic/Legacy,1980-02-01,1980,TRUE,TRUE
asia,1982,"""Heat of the Moment""",Geffen,1982-03-08,1980,FALSE,TRUE
little river band,1982,"""Take It Easy on Me""",CAPITOL CATALOG MKT (C92),1981-08-01,1980,FALSE,TRUE
buckner,1982,"""Pac-Man Fever""",Buckner & Garcia Productions,1999-05-01,1980,FALSE,FALSE
stevie wonder,1982,"""That Girl""",UNI/MOTOWN,1982-05-04,1980,TRUE,TRUE
daryl hall,1982,"""Private Eyes""",RCA/BMG Heritage,1981,1980,FALSE,TRUE
lindsey buckingham,1982,"""Trouble""",Reprise,1981,1980,FALSE,FALSE
roberta flack,1982,"""Making Love""",Columbia,1980-07-25,1980,FALSE,TRUE
juice newton,1982,"""Love's Been a Little Bit Hard on Me""",EMI Music Nashville (ERN),1981-01-01,1980,FALSE,TRUE
rod stewart,1982,"""Young Turks""",Rhino/Warner Records,1981,1980,TRUE,TRUE
the j. geils band,1982,"""Freeze-Frame""",EMI/EMI Records (USA),1981,1980,FALSE,FALSE
reo speedwagon,1982,"""Keep the Fire Burnin'""",Epic,1982-06-11,1980,FALSE,TRUE
huey lewis and the news,1982,"""Do You Believe in Love""",Chrysalis\EMI Records (USA),1982-01-01,1980,FALSE,TRUE
paul davis,1982,"""Cool Night""",SBCMG,1981,1980,FALSE,TRUE
.38 special,1982,"""Caught Up In You""",A&M,1982-01-01,1980,FALSE,TRUE
diana ross,1982,"""Why Do Fools Fall In Love?""",RCA/Legacy,1981-09-14,1980,TRUE,TRUE
alabama,1982,"""Love in the First Degree""",RLG/Legacy,1980,1980,TRUE,TRUE
royal philharmonic orchestra,1982,"""Hooked On Classics""",Castle Communications,1966-10-28,1980,FALSE,FALSE
crosby,1982,"""Wasted on the Way""",Rhino Atlantic,1980-12-08,1980,TRUE,TRUE
eddie money,1982,"""Think I'm in Love""",Columbia/Legacy,1977,1980,TRUE,TRUE
donna summer,1982,"""Love Is in Control (Finger on the Trigger)""",Island Def Jam,1979-04-25,1980,FALSE,TRUE
karla bonoff,1982,"""Personally""",Columbia,1977,1980,FALSE,FALSE
quincy jones,1982,"""One Hundred Ways""",Verve,1962-01-01,1980,FALSE,FALSE
elton john,1982,"""Blue Eyes""",UMC (Universal Music Catalogue),1982-01-01,1980,FALSE,TRUE
the go-go's,1982,"""Our Lips Are Sealed""",Elektra Records,1977-02-08,1980,FALSE,TRUE
sheena easton,1982,"""You Could Have Been with Me""",RT Industries,1981,1980,FALSE,TRUE
america,1982,"""You Can Do Magic""",Capitol Records,1982-01-01,1980,TRUE,TRUE
daryl hall,1982,"""Did It in a Minute""",RCA/BMG Heritage,1981,1980,FALSE,TRUE
a flock of seagulls,1982,"""I Ran (So Far Away)""",Jive/Legacy,1981,1980,TRUE,FALSE
jackson browne,1982,"""Somebody's Baby""",Columbia Nashville,1976-07-01,1980,FALSE,TRUE
commodores,1982,"""Oh No""",UNI/MOTOWN,1981-01-01,1980,TRUE,TRUE
paul mccartney,1982,"""Take It Away""",Paul McCartney Catalog,1982-04-26,1980,FALSE,TRUE
deniece williams,1982,"""It's Gonna Take a Miracle""",Columbia/Legacy,1982,1980,TRUE,TRUE
kenny rogers,1982,"""Love Will Turn You Around""",Rhino/Warner Records,1978,1980,TRUE,TRUE
journey,1982,"""Don't Stop Believin'""",Columbia/Legacy,1981-07-17,1980,TRUE,TRUE
barbra streisand,1982,"""Comin' In and Out of Your Life""",Columbia,1981,1980,FALSE,TRUE
laura branigan,1982,"""Gloria""",Atlantic Records,1982-03-10,1980,TRUE,TRUE
elton john,1982,"""Empty Garden (Hey Hey Johnny)""",EMI,1974-06-28,1980,FALSE,TRUE
neil diamond,1982,"""Yesterday's Songs""",Neil Diamond,1981-11-28,1980,FALSE,TRUE
joan jett,1982,"""Crimson and Clover""",Legacy Recordings,1981-11-18,1980,FALSE,FALSE
the police,1982,"""Every Little Thing She Does Is Magic""",Polydor Records,1981-10-02,1980,FALSE,TRUE
air supply,1982,"""Here I Am""",Buddha Records,1981,1980,FALSE,TRUE
michael mcdonald,1982,"""I Keep Forgettin' (Every Time You're Near)""",Reprise,1982-08-03,1980,FALSE,TRUE
kool,1982,"""Get Down on It""",Island Def Jam,1981,1980,FALSE,TRUE
ronnie milsap,1982,"""Any Day Now""",Craft Recordings,1980-02-01,1980,FALSE,TRUE
olivia newton-john,1982,"""Make a Move on Me""",Rhino/Elektra,1996,1980,TRUE,TRUE
kool,1982,"""Take My Heart (You Can Have It If You Want It)""",Island Def Jam,1981,1980,FALSE,TRUE
diana ross,1982,"""Mirror Mirror""",UNI/MOTOWN,1980-05-22,1980,TRUE,TRUE
the go-go's,1982,"""Vacation""",A&M,1982,1980,FALSE,TRUE
van halen,1982,"""Oh, Pretty Woman""",Rhino/Warner Records,1982-04-14,1980,TRUE,TRUE
the pointer sisters,1982,"""Should I Do It""",RCA/Legacy,1981,1980,TRUE,TRUE
billy idol,1982,"""Hot in the City""",CAPITOL CATALOG MKT (C92),1982-01-01,1980,FALSE,TRUE
kim wilde,1982,"""Kids in America""",Cherry Red Records,1981-06-29,1980,FALSE,TRUE
little river band,1982,"""Man on Your Mind""",CAPITOL CATALOG MKT (C92),1981-08-01,1980,FALSE,TRUE
michael murphey,1982,"""What's Forever For""",Capitol Nashville,1982,1980,FALSE,FALSE
the rolling stones,1982,"""Waiting on a Friend""","ABKCO Music and Records, Inc.",1966-04-15,1980,FALSE,TRUE
stevie wonder,1982,"""Do I Do""",Motown,1973-08-03,1980,FALSE,TRUE
loverboy,1982,"""Working for the Weekend""",Columbia,1980,1980,FALSE,TRUE
greg guidry,1982,"""Goin' Down""",Geffen,1966-08-03,1980,FALSE,FALSE
christopher cross,1982,"""Arthur's Theme (Best That You Can Do)""",Seeker Music,1979-12-20,1980,FALSE,TRUE
kenny rogers,1982,"""Through the Years""",EMI Music Nashville (ERN),1981-06-15,1980,FALSE,TRUE
stevie nicks,1982,"""Edge of Seventeen""",Rhino Atlantic,1981-07-27,1980,TRUE,TRUE
the police,1983,"""Every Breath You Take""",Polydor Records,1983-06-17,1980,FALSE,TRUE
michael jackson,1983,"""Billie Jean""",Epic,1982-11-30,1980,FALSE,TRUE
irene cara,1983,"""Flashdance... What a Feeling""",UNIDISC MUSIC INC.,1983-11-02,1980,FALSE,TRUE
men at work,1983,"""Down Under""",Columbia,1981-11-09,1980,FALSE,TRUE
michael jackson,1983,"""Beat It""",Epic,1982-11-30,1980,FALSE,TRUE
bonnie tyler,1983,"""Total Eclipse of the Heart""",Sony Music CG,1983-04-11,1980,FALSE,TRUE
daryl hall,1983,"""Maneater""",RCA/Legacy,1982-10-04,1980,TRUE,TRUE
patti austin,1983,"""Baby, Come to Me""",Craft Recordings,1981-12-15,1980,FALSE,FALSE
michael sembello,1983,"""Maniac""",Mercury Records,1983-04-11,1980,FALSE,FALSE
eurythmics,1983,"""Sweet Dreams (Are Made of This)""",RCA Records Label,1983-01-04,1980,FALSE,TRUE
culture club,1983,"""Do You Really Want to Hurt Me""",Virgin Catalogue,1982-09-01,1980,FALSE,TRUE
eddie rabbitt,1983,"""You and I""",Capitol Nashville,1982-10,1980,FALSE,TRUE
dexys midnight runners,1983,"""Come On Eileen""",Mercury Nashville,1982-07-22,1980,FALSE,FALSE
bob seger,1983,"""Shame on the Moon""",Bob Seger,1982-12-01,1980,FALSE,TRUE
donna summer,1983,"""She Works Hard for the Money""",Island Mercury,1983-01-01,1980,FALSE,TRUE
sérgio mendes,1983,"""Never Gonna Let You Go""",A&M,1983,1980,FALSE,FALSE
duran duran,1983,"""Hungry Like the Wolf""",Parlophone UK,1982-05-10,1980,FALSE,TRUE
david bowie,1983,"""Let's Dance""",Parlophone UK,1983,1980,FALSE,TRUE
golden earring,1983,"""Twilight Zone""",Red Bullet,1982,1980,FALSE,TRUE
frida,1983,"""I Know There's Something Going On""",Polar Music International AB,1982-08,1980,FALSE,FALSE
the greg kihn band,1983,"""Jeopardy""",Reservoir,1983-01-01,1980,FALSE,TRUE
eddy grant,1983,"""Electric Avenue""",Big Eye Music,2011-02-01,1980,FALSE,FALSE
thomas dolby,1983,"""She Blinded Me with Science""",Echo,1983-12-09,1980,FALSE,FALSE
toto,1983,"""Africa""",Columbia,1982-04-08,1980,FALSE,TRUE
prince,1983,"""Little Red Corvette""",Legacy Recordings,1982-10-27,1980,FALSE,TRUE
the pretenders,1983,"""Back on the Chain Gang""",Rhino/Warner Records,1984,1980,TRUE,TRUE
joe cocker,1983,"""Up Where We Belong""",Hollywood Records,1974-01-01,1980,FALSE,TRUE
styx,1983,"""Mr. Roboto""",A&M,1983-01-01,1980,FALSE,TRUE
lionel richie,1983,"""You Are""",UNI/MOTOWN,1982,1980,TRUE,TRUE
after the fire,1983,"""Der Kommissar""",Columbia,1982-08-21,1980,FALSE,FALSE
taco,1983,"""Puttin' on the Ritz""",Aviator-Entertainment,1982-01-01,1980,FALSE,FALSE
marvin gaye,1983,"""Sexual Healing""",Columbia/Legacy,1982-10-01,1980,TRUE,TRUE
the human league,1983,"""(Keep Feeling) Fascination""",EMI Marketing,2005-01-01,1980,FALSE,TRUE
culture club,1983,"""Time (Clock of the Heart)""",Virgin Catalogue,1989-01-01,1980,FALSE,TRUE
men without hats,1983,"""The Safety Dance""",Geffen,1982-04-01,1980,FALSE,FALSE
toni basil,1983,"""Mickey""",FFRC,1982-01-08,1980,FALSE,FALSE
phil collins,1983,"""You Can't Hurry Love""",Rhino,1982-11-05,1980,TRUE,TRUE
journey,1983,"""Separate Ways (Worlds Apart)""",Columbia,1983-02-01,1980,FALSE,TRUE
daryl hall,1983,"""One on One""",RCA/Legacy,1982-10-04,1980,TRUE,TRUE
kenny rogers,1983,"""We've Got Tonight""",EMI Music Nashville (ERN),1977-10-23,1980,FALSE,TRUE
prince,1983,"""1999""",Legacy Recordings,1982-10-27,1980,FALSE,TRUE
stray cats,1983,"""Stray Cat Strut""",EMI/EMI Records (USA),1982-01-01,1980,FALSE,FALSE
billy joel,1983,"""Allentown""",Columbia,1982-06-23,1980,FALSE,TRUE
stevie nicks,1983,"""Stand Back""",Rhino Atlantic,1983-06-10,1980,TRUE,TRUE
billy joel,1983,"""Tell Her About It""",Columbia,1983-08-08,1980,FALSE,TRUE
naked eyes,1983,"""Always Something There to Remind Me""",Albert Productions,1981,1980,FALSE,FALSE
lionel richie,1983,"""Truly""",UNI/MOTOWN,1982,1980,TRUE,TRUE
don henley,1983,"""Dirty Laundry""",Rhino,1982-08-13,1980,TRUE,TRUE
michael jackson,1983,"""The Girl Is Mine""",Epic,1982-11-30,1980,FALSE,TRUE
kajagoogoo,1983,"""Too Shy""",Parlophone UK,1983,1980,FALSE,FALSE
adam ant,1983,"""Goody Two-Shoes""",Columbia,1982,1980,FALSE,FALSE
the clash,1983,"""Rock the Casbah""",Sony Music UK,1982,1980,FALSE,FALSE
